qid,duration_bin,cohort,p3_location_failure,labels,evidence,native_status,qd_alignment,human_review_status
--0w1YA1Hm4_1,0-2s,harmful,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_GT_FAVORED,UNLABELED
--0w1YA1Hm4_2,2-5s,harmful,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_GT_FAVORED,UNLABELED
--0w1YA1Hm4_3,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
-FW109cbv0g_1,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
-FW109cbv0g_3,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
-FW109cbv0g_4,2-5s,harmful,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
-FW109cbv0g_5,2-5s,harmful,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
-NrFeH-kBSM_2,0-2s,control,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
-NrFeH-kBSM_4,2-5s,harmful,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_GT_FAVORED,UNLABELED
-mhFGevxLUg_3,2-5s,control,1,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_TIE,UNLABELED
-nQHwrRLfc0_2,0-2s,harmful,0,NEAR_GT_SCALE_LEAKAGE;DECODER_ATTRACTION,strong hard peak is adjacent/moderately near or overlaps GT±2s; full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
-oy0BkpMGAk_1,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
-oy0BkpMGAk_3,2-5s,control,1,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_HARD_FAVORED,UNLABELED
096oTVzc5Gs_4,0-2s,control,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
0AsXkZkqelg_1,2-5s,harmful,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
0AsXkZkqelg_2,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
0_K6OKtoBBU_1,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
0_K6OKtoBBU_3,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
0a9wVat2PWk_2,2-5s,harmful,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
0a9wVat2PWk_3,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
0a9wVat2PWk_4,2-5s,harmful,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
0fMXnvD38zI_1,2-5s,control,1,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_TIE,UNLABELED
0yETgW44MZU_2,2-5s,control,1,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_HARD_FAVORED,UNLABELED
14izd_i3ryE_3,2-5s,harmful,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
1FNJbN-eHY4_1,2-5s,harmful,1,NEAR_GT_SCALE_LEAKAGE;DECODER_ATTRACTION,strong hard peak is adjacent/moderately near or overlaps GT±2s; full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_TIE,UNLABELED
1GgEpRZDWN0_1,2-5s,harmful,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_TIE,UNLABELED
1IoHRTUp86c_3,2-5s,control,1,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
1Og2TJ3bXW0_1,2-5s,control,1,NEAR_GT_SCALE_LEAKAGE;DECODER_ATTRACTION,strong hard peak is adjacent/moderately near or overlaps GT±2s; full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_TIE,UNLABELED
1Og2TJ3bXW0_2,2-5s,harmful,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
1Og2TJ3bXW0_4,2-5s,control,0,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_GT_FAVORED,UNLABELED
1WTSW96XP6E_2,2-5s,harmful,1,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_HARD_FAVORED,UNLABELED
1slvoNgzBLE_2,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
1slvoNgzBLE_4,2-5s,control,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_TIE,UNLABELED
1vCYiVvZ7VE_1,2-5s,control,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
1vCYiVvZ7VE_2,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
27HIamF8pKo_1,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
27HIamF8pKo_3,0-2s,harmful,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
2JutOgAnqWA_2,2-5s,control,1,DECODER_ATTRACTION,full-access top-1 decoder reference moved closer to hard peak,BLOCKED,QD_HARD_FAVORED,UNLABELED
2KEfkDO6hlA_1,2-5s,control,1,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_HARD_FAVORED,UNLABELED
2KR0C5ysO8o_1,2-5s,control,0,NEAR_GT_SCALE_LEAKAGE,strong hard peak is adjacent/moderately near or overlaps GT±2s,BLOCKED,QD_GT_FAVORED,UNLABELED
2KR0C5ysO8o_2,2-5s,control,0,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_GT_FAVORED,UNLABELED
2RjqBRzmxaM_3,2-5s,control,1,UNRESOLVED,no independently supported mechanism label,BLOCKED,QD_TIE,UNLABELED
