qid,vid,duration_bin,gt_duration_sec,audio_duration_sec,hard_center_hit10_2s,random25_center_hit10_2s_mean,hard_minus_random_center,cohort,p3_location_failure,query_conditioned_memory_score_status,query_conditioned_memory_score_reason,full_best_gt_center_rank,full_best_hard_center_rank,full_gt_center_density_top10,full_hard_center_density_top10,full_top1_center_sec,full_top1_width_gt_ratio,hard25_best_gt_center_rank,hard25_best_hard_center_rank,hard25_gt_center_density_top10,hard25_hard_center_density_top10,hard25_top1_center_sec,hard25_top1_width_gt_ratio,full_attn_l0_total,full_attn_l0_gt_mass,full_attn_l0_hard_peak_mass,full_attn_l0_other_mass,full_attn_l1_total,full_attn_l1_gt_mass,full_attn_l1_hard_peak_mass,full_attn_l1_other_mass,hard25_attn_l0_total,hard25_attn_l0_gt_mass,hard25_attn_l0_hard_peak_mass,hard25_attn_l0_other_mass,hard25_attn_l1_total,hard25_attn_l1_gt_mass,hard25_attn_l1_hard_peak_mass,hard25_attn_l1_other_mass
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,1.0,299.0,0.0,0.7,-0.7,harmful,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,10,11,1,0,72.0,10.0,11,11,0,0,149.5,11.0,1.0,0.01349947601556778,0.010736385360360146,0.9757641553878784,1.0,0.0031006650533527136,0.017767474055290222,0.9791319370269775,1.0,0.19234612584114075,0.017305925488471985,0.7903479337692261,1.0,0.029269903898239136,0.022412002086639404,0.9483181238174438
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,4.0,299.0,0.0,0.8,-0.8,harmful,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,2,11,1,0,294.5,1.75,11,11,0,0,43.5,2.75,0.9999999403953552,0.009299570694565773,0.06980612128973007,0.9208942651748657,1.0,0.003549444954842329,0.22609983384609222,0.7703506946563721,1.0,0.0899854451417923,0.19623160362243652,0.7137829065322876,1.0,0.04857524856925011,0.10677483677864075,0.8446499109268188
--0w1YA1Hm4_3,--0w1YA1Hm4,2-5s,2.0,299.0,1.0,1.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,11,1,0,296.0,3.0,1,2,1,1,293.0,2.0,1.0,0.10565844178199768,0.008684627711772919,0.8856568932533264,1.0,0.2356274574995041,0.013022726401686668,0.7513498067855835,0.9999999403953552,0.18972575664520264,0.07437581568956375,0.7358983755111694,1.0,0.30053868889808655,0.08045823872089386,0.6190029978752136
-FW109cbv0g_1,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,2,6,1,6.0,1.3333333333333333,1,2,5,1,6.0,2.0,1.0,0.3379383087158203,0.019011730328202248,0.6430500149726868,1.0,0.2457297146320343,0.021349182352423668,0.7329211235046387,1.0,0.6765210628509521,0.028317604213953018,0.29516130685806274,1.0,0.6973782181739807,0.020908085629343987,0.28171366453170776
-FW109cbv0g_3,-FW109cbv0g,2-5s,3.0,96.0,1.0,1.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,1,11,2,0,20.5,1.0,1,11,2,0,21.5,1.0,1.0,0.05709952116012573,0.008366473950445652,0.934533953666687,0.9999999403953552,0.24213308095932007,0.11262968182563782,0.6452372074127197,1.0,0.28601139783859253,0.018424471840262413,0.6955640912055969,1.0,0.3018835783004761,0.13515277206897736,0.5629636645317078
-FW109cbv0g_4,-FW109cbv0g,2-5s,2.0,96.0,0.0,1.0,-1.0,harmful,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,2,11,3,0,37.0,2.0,11,3,0,1,26.0,2.0,1.0,0.0306843388825655,0.03047189489006996,0.9388437867164612,1.0,0.0671280026435852,0.006910322234034538,0.9259617328643799,0.9999999403953552,0.126994788646698,0.059936150908470154,0.8130689859390259,1.0,0.14760825037956238,0.013419901952147484,0.8389719128608704
-FW109cbv0g_5,-FW109cbv0g,2-5s,3.0,96.0,0.0,0.9,-0.9,harmful,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,9,2,1,1,15.5,1.6666666666666667,11,1,0,1,4.0,1.3333333333333333,1.0,0.08536360412836075,0.030026085674762726,0.8846103549003601,1.0,0.027507059276103973,0.10830150544643402,0.8641915321350098,1.0,0.44072556495666504,0.05129399523139,0.5079804062843323,0.9999999403953552,0.07173259556293488,0.23564545810222626,0.6926218867301941
-NrFeH-kBSM_2,-NrFeH-kBSM,0-2s,1.0,300.0,0.0,0.0,0.0,control,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,1,0,1,9.5,9.0,11,11,0,0,78.5,31.0,1.0,0.001261988072656095,0.10932589322328568,0.8894121646881104,1.0,0.0005079518887214363,0.12854734063148499,0.870944619178772,0.9999999403953552,0.05130452662706375,0.13823063671588898,0.8104647994041443,1.0000001192092896,0.046886101365089417,0.18235458433628082,0.7707592844963074
-NrFeH-kBSM_4,-NrFeH-kBSM,2-5s,4.0,300.0,0.0,0.4,-0.4,harmful,0,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,2,11,1,0,11.0,2.5,11,11,0,0,210.0,3.0,1.0,0.014026324264705181,0.2063133716583252,0.7796603441238403,1.0000001192092896,0.007824881933629513,0.3417821228504181,0.6503930687904358,1.0,0.13973349332809448,0.24041825532913208,0.6198482513427734,1.0,0.04381422698497772,0.3662835359573364,0.5899022221565247
-mhFGevxLUg_3,-mhFGevxLUg,2-5s,4.0,300.0,0.0,0.0,0.0,control,1,BLOCKED,No official common QD query-memory score; stored 768-D audio/text features are not compared.,11,11,0,0,216.5,2.75,11,11,0,0,13.0,2.5,1.0,0.013760039582848549,0.08410806953907013,0.9021319150924683,1.0,0.015250775963068008,0.0043034725822508335,0.9804457426071167,1.0,0.023797672241926193,0.274458110332489,0.7017441987991333,1.0,0.026912709698081017,0.10608812421560287,0.8669991493225098
