qid,vid,duration_bin,cohort,query,gt_windows,hard_peak_start_sec,hard_peak_end_sec,hard_peak_center_sec,audio_relpath,human_label,review_notes
9dLLsZVRSZI_1,9dLLsZVRSZI,0-2s,harmful,An engine hums as a horn honks,"[[118, 119]]",119.0,120.0,119.5,../../../review_ui/audio/9dLLsZVRSZI.wav,,
BA-lFjpzad4_2,BA-lFjpzad4,0-2s,harmful,An engine runs as electronic tones play,"[[12, 13]]",0.0,11.0,5.5,../../../review_ui/audio/BA-lFjpzad4.wav,,
BDpU2Qh77NE_1,BDpU2Qh77NE,0-2s,harmful,Cloth tears,"[[2, 3], [220, 221]]",24.0,33.0,28.5,../../../review_ui/audio/BDpU2Qh77NE.wav,,
x5AH2gW_8S4_2,x5AH2gW_8S4,0-2s,harmful,A whistle sounds as wings flap,"[[74, 75]]",19.0,21.0,20.0,../../../review_ui/audio/x5AH2gW_8S4.wav,,
6Nvu6EcpdE8_2,6Nvu6EcpdE8,0-2s,harmful,An engine starts up,"[[45, 46]]",39.0,40.0,39.5,../../../review_ui/audio/6Nvu6EcpdE8.wav,,
3VHpLxtd498_3,3VHpLxtd498,0-2s,harmful,Someone coughs as machines hum,"[[97, 98]]",105.0,106.0,105.5,../../../review_ui/audio/3VHpLxtd498.wav,,
6Nvu6EcpdE8_3,6Nvu6EcpdE8,0-2s,harmful,An engine roars in the background as it revs even louder,"[[175, 176]]",71.0,72.0,71.5,../../../review_ui/audio/6Nvu6EcpdE8.wav,,
cz0FSQDVBMw_2,cz0FSQDVBMw,0-2s,harmful,A horn blares,"[[77, 78], [196, 197]]",137.0,143.0,140.0,../../../review_ui/audio/cz0FSQDVBMw.wav,,
5G6b_QWL3nY_3,5G6b_QWL3nY,2-5s,harmful,"As a woman speaks, food sizzles in hot oil","[[62, 66]]",202.0,206.0,204.0,../../../review_ui/audio/5G6b_QWL3nY.wav,,
ErxgH5g3Kx0_2,ErxgH5g3Kx0,2-5s,harmful,Metal strikes and a horse neighs,"[[32, 34], [46, 48]]",95.0,125.0,110.0,../../../review_ui/audio/ErxgH5g3Kx0.wav,,
rvtA7c1I4xo_2,rvtA7c1I4xo,2-5s,harmful,A man talks as people chat and shoes squeak in the background,"[[5, 9]]",11.0,15.0,13.0,../../../review_ui/audio/rvtA7c1I4xo.wav,,
Dn3buZWMzwY_4,Dn3buZWMzwY,2-5s,harmful,A man speaks as someone snores and a zipper slides,"[[25, 27]]",19.0,24.0,21.5,../../../review_ui/audio/Dn3buZWMzwY.wav,,
rvtA7c1I4xo_4,rvtA7c1I4xo,2-5s,harmful,"As music plays and people talk, applause breaks out","[[124, 127]]",20.0,48.0,34.0,../../../review_ui/audio/rvtA7c1I4xo.wav,,
os_2U4xqTqw_4,os_2U4xqTqw,2-5s,harmful,Footsteps echo,"[[101, 105]]",58.0,61.0,59.5,../../../review_ui/audio/os_2U4xqTqw.wav,,
3VHpLxtd498_4,3VHpLxtd498,2-5s,harmful,Machines hum as people talk and hard objects collide,"[[72, 75], [85, 86], [165, 166]]",105.0,106.0,105.5,../../../review_ui/audio/3VHpLxtd498.wav,,
7JWHbs3gu1w_1,7JWHbs3gu1w,2-5s,harmful,"As a train moves along, steam hisses","[[61, 63], [102, 103], [238, 240]]",263.0,281.0,272.0,../../../review_ui/audio/7JWHbs3gu1w.wav,,
GGgQR7aIofY_3,GGgQR7aIofY,2-5s,harmful,A car drives by as air brakes hiss,"[[88, 91]]",53.0,73.0,63.0,../../../review_ui/audio/GGgQR7aIofY.wav,,
gf6H_MWCqjw_4,gf6H_MWCqjw,2-5s,harmful,Someone coughs,"[[114, 117]]",0.0,5.0,2.5,../../../review_ui/audio/gf6H_MWCqjw.wav,,
hmd6pa2e_rs_2,hmd6pa2e_rs,2-5s,harmful,A bus moves and people talk as a woman laughs,"[[180, 182]]",46.0,62.0,54.0,../../../review_ui/audio/hmd6pa2e_rs.wav,,
