qid,vid,duration_bin,gt_duration_sec,audio_duration_sec,hard_center_hit10_2s,random25_center_hit10_2s_mean,hard_minus_random_center,cohort,p3_location_failure,replacement_status,replacement_unit,removed_random_token,added_hard_token,hard_peak_component_size,random25_top1_center_sec,replacement_top1_center_sec,random25_top1_width_gt_ratio,replacement_top1_width_gt_ratio,random25_best_gt_center_rank,replacement_best_gt_center_rank,random25_gt_center_density_top10,replacement_gt_center_density_top10
--0w1YA1Hm4_1,--0w1YA1Hm4,0-2s,1.0,299.0,0.0,0.7,-0.7,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,151,52,1,146.5,74.0,9.0,10.0,11,11,0,0
--0w1YA1Hm4_2,--0w1YA1Hm4,2-5s,4.0,299.0,0.0,0.8,-0.8,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,186,179,3,291.0,291.0,2.0,2.0,11,11,0,0
-FW109cbv0g_4,-FW109cbv0g,2-5s,2.0,96.0,0.0,1.0,-1.0,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,76,14,2,63.0,63.5,2.0,2.5,2,3,2,2
-FW109cbv0g_5,-FW109cbv0g,2-5s,3.0,96.0,0.0,0.9,-0.9,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,10,16,2,4.5,5.0,1.0,1.3333333333333333,8,8,1,1
-NrFeH-kBSM_4,-NrFeH-kBSM,2-5s,4.0,300.0,0.0,0.4,-0.4,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,97,7,8,205.5,206.5,3.25,3.25,11,11,0,0
-nQHwrRLfc0_2,-nQHwrRLfc0,0-2s,1.0,165.0,0.0,0.7,-0.7,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,70,0,12,5.0,4.5,8.0,7.0,3,3,1,1
0AsXkZkqelg_1,0AsXkZkqelg,2-5s,4.0,172.0,0.0,0.8,-0.8,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,35,4,24,2.5,2.5,1.25,1.25,1,1,1,1
0a9wVat2PWk_2,0a9wVat2PWk,2-5s,4.0,300.0,0.0,0.5,-0.5,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,293,119,4,108.5,108.5,3.25,3.25,11,11,0,0
0a9wVat2PWk_4,0a9wVat2PWk,2-5s,4.0,300.0,0.0,0.6,-0.6,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,115,111,3,17.5,111.5,3.25,2.75,4,11,1,0
14izd_i3ryE_3,14izd_i3ryE,2-5s,2.0,299.0,0.0,0.4,-0.4,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,21,47,11,45.0,45.0,6.0,6.0,3,3,1,1
1FNJbN-eHY4_1,1FNJbN-eHY4,2-5s,4.0,177.0,0.0,0.7,-0.7,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,169,11,28,4.0,7.0,2.0,2.0,8,11,1,0
1GgEpRZDWN0_1,1GgEpRZDWN0,2-5s,2.0,300.0,0.0,0.6,-0.6,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,146,170,4,18.0,18.5,5.0,4.5,11,11,0,0
1Og2TJ3bXW0_2,1Og2TJ3bXW0,2-5s,3.0,300.0,0.0,0.2,-0.2,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,154,73,6,74.5,72.5,1.6666666666666667,1.6666666666666667,11,11,0,0
1WTSW96XP6E_2,1WTSW96XP6E,2-5s,2.0,300.0,0.0,0.1,-0.1,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,119,126,2,194.0,126.5,5.0,4.5,11,11,0,0
27HIamF8pKo_3,27HIamF8pKo,0-2s,1.0,140.0,0.0,0.7,-0.7,harmful,0,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,69,17,15,21.5,21.5,9.0,9.0,3,3,1,1
3RultJjvTWI_2,3RultJjvTWI,0-2s,1.0,299.0,0.0,0.1,-0.1,harmful,1,VALID_TOKEN_LEVEL,single_token; peak-level replacement not claimed,282,5,10,8.5,7.5,9.0,11.0,11,11,0,0
